,date,M1,M2,M3,M4,M5,M6,M7,M8
1,3/26/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
2,3/29/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
3,3/30/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
4,3/31/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
5,4/1/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
6,4/2/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
7,4/5/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
8,4/6/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
9,4/7/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
10,4/8/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
11,4/12/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
12,4/13/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
13,4/14/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
14,4/15/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
15,4/16/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
16,4/19/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
17,4/20/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
18,4/21/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
19,4/22/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
20,4/23/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
21,4/26/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
22,4/27/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
23,4/28/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
24,4/29/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
25,4/30/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
26,5/3/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
27,5/4/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
28,5/5/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
29,5/6/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
30,5/7/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
31,5/10/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
32,5/11/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
33,5/12/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
34,5/13/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
35,5/14/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
36,5/17/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
37,5/18/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
38,5/19/04,M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA,NA
39,5/20/04,M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA,NA
40,5/21/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
41,5/24/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
42,5/25/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
43,5/26/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
44,5/27/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
45,5/28/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
46,6/1/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
47,6/2/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
48,6/3/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
49,6/4/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
50,6/7/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
