"","date","M1","M2","M3","M4","M5","M6","M7","M8"
"1",2004-03-26,NA,20.27,20.2,NA,20.06,NA,NA,20.89
"2",2004-03-29,NA,19.77,19.76,NA,19.76,NA,NA,20.97
"3",2004-03-30,NA,19.61,19.73,NA,19.92,NA,NA,21
"4",2004-03-31,NA,19.72,19.9,NA,20.18,NA,NA,21.13
"5",2004-04-01,NA,19.65,19.94,NA,20.28,NA,NA,21.25
"6",2004-04-02,NA,18.98,19.25,NA,20.06,NA,NA,21
"7",2004-04-05,NA,18.62,18.63,NA,19.97,NA,NA,21.01
"8",2004-04-06,NA,18.76,18.7,NA,20.33,NA,NA,21.19
"9",2004-04-07,NA,19.13,19.22,NA,20.55,NA,NA,21.5
"10",2004-04-08,NA,19.01,19.02,NA,20.6,NA,NA,21.43
"11",2004-04-12,NA,18.7,19.02,NA,20.34,NA,NA,21.32
"12",2004-04-13,NA,19.31,19.3,NA,20.74,NA,NA,21.69
"13",2004-04-14,NA,19.43,19.58,NA,20.51,NA,NA,21.63
"14",2004-04-15,NA,19.26,19.5,NA,20.43,NA,NA,21.67
"15",2004-04-16,NA,19.01,19.36,NA,20.3,NA,NA,21.54
"16",2004-04-19,18.85,19.63,NA,20.37,NA,NA,21.66,NA
"17",2004-04-20,19.11,19.76,NA,20.48,NA,NA,21.71,NA
"18",2004-04-21,18.66,19.71,NA,20.22,NA,NA,21.5,NA
"19",2004-04-22,17.27,18.64,NA,19.53,NA,NA,21.07,NA
"20",2004-04-23,17.3,19.18,NA,19.86,NA,NA,21.26,NA
"21",2004-04-26,17.23,19,NA,19.94,NA,NA,21.2,NA
"22",2004-04-27,16.74,18.76,NA,19.78,NA,NA,21.2,NA
"23",2004-04-28,17.5,19.21,NA,20.14,NA,NA,21.31,NA
"24",2004-04-29,17.8,19.7,NA,20.55,NA,NA,21.5,NA
"25",2004-04-30,18.28,19.72,NA,20.7,NA,NA,21.41,NA
"26",2004-05-03,17.8,19.33,NA,20.85,NA,NA,21.25,NA
"27",2004-05-04,16.85,19.02,NA,20.35,NA,NA,21.14,NA
"28",2004-05-05,16.6,18.83,NA,20.3,NA,NA,20.9,NA
"29",2004-05-06,17.5,19.48,NA,20.89,NA,NA,21.28,NA
"30",2004-05-07,18.14,19.85,NA,21.1,NA,NA,21.32,NA
"31",2004-05-10,19.42,20.64,NA,21.6,NA,NA,21.76,NA
"32",2004-05-11,18.43,19.9,NA,21.19,NA,NA,21.42,NA
"33",2004-05-12,18.49,19.6,NA,21.58,NA,NA,21.33,NA
"34",2004-05-13,18.49,19.6,NA,21.58,NA,NA,21.33,NA
"35",2004-05-14,18.2,19.75,NA,20.58,NA,NA,21.15,NA
"36",2004-05-17,19.44,20.28,NA,21,NA,NA,21.21,NA
"37",2004-05-18,19.2,20.09,NA,21,NA,NA,21.25,NA
"38",2004-05-19,19.17,NA,20.62,NA,NA,21.18,NA,NA
"39",2004-05-20,19.28,NA,20.68,NA,NA,21.13,NA,NA
"40",2004-05-21,19.1,0,20.8,NA,NA,21.1,NA,NA
"41",2004-05-24,18.8,19.11,20.55,NA,NA,21,NA,NA
"42",2004-05-25,17.52,18.38,19.85,NA,NA,20.6,NA,NA
"43",2004-05-26,17.59,18.2,20,NA,NA,20.61,NA,NA
"44",2004-05-27,17.4,18,19.62,NA,NA,20.68,NA,NA
"45",2004-05-28,17.57,18.04,19.74,NA,NA,20.75,NA,NA
"46",2004-06-01,17.62,18.25,19.8,NA,NA,20.85,NA,NA
"47",2004-06-02,17.61,18.15,19.58,NA,NA,20.7,NA,NA
"48",2004-06-03,17.6,18.33,19.92,NA,NA,20.8,NA,NA
"49",2004-06-04,17.19,18.34,20,NA,NA,20.87,NA,NA
"50",2004-06-07,16.64,18.1,19.74,NA,NA,20.61,NA,NA
"51",2004-06-08,16.21,17.89,19.42,NA,NA,20.53,NA,NA
"52",2004-06-09,16.29,17.95,19,NA,NA,20.55,NA,NA
"53",2004-06-10,15.8,17.6,19.8,NA,NA,20.63,NA,NA
"54",2004-06-14,15.8,17.6,19.8,NA,NA,20.63,NA,NA
"55",2004-06-15,15.02,17.31,19.85,NA,NA,20.7,NA,NA
"56",2004-06-16,17.15,19.26,NA,NA,20.09,NA,NA,NA
"57",2004-06-17,17.15,19.25,NA,NA,20.05,NA,NA,NA
"58",2004-06-18,16.94,19.25,NA,NA,20,NA,NA,0
"59",2004-06-21,17.2,19.04,NA,NA,20.07,NA,NA,19.99
"60",2004-06-22,16.8,18.75,NA,NA,19.8,NA,NA,20.11
"61",2004-06-23,15.8,17.9,NA,NA,19.15,NA,NA,19.48
